x	t=0	t=0.005	t=0.01	t=0.015	t=0.02
0.427861	0.00970829	4.58525e-05	0.000913333	3.89175	0.841375
0.432836	0.00566541	3.42356e-05	0.000692728	3.68903	0.888117
0.437811	0.00324131	2.55183e-05	0.000506047	3.47711	0.945468
0.442786	0.00181807	1.89966e-05	0.0003556	3.25835	1.01207
0.447761	0.000999769	1.41312e-05	0.000239959	3.03514	1.08562
0.452736	0.000539001	1.05104e-05	0.000155283	2.80984	1.163
0.457711	0.000284892	7.82157e-06	9.6472e-05	2.58485	1.24047
0.462687	0.000147629	5.82808e-06	5.80644e-05	2.36254	1.31405
0.467662	7.50001e-05	4.35177e-06	3.48702e-05	2.14521	1.37975
0.472637	3.73554e-05	3.25901e-06	2.23513e-05	1.93504	1.43403
0.477612	1.82408e-05	2.44996e-06	1.68018e-05	1.73397	1.47406
0.482587	8.73247e-06	1.85038e-06	1.53807e-05	1.54368	1.49802
0.487562	4.09854e-06	1.40519e-06	1.60458e-05	1.36552	1.50529
0.492537	1.88591e-06	1.07372e-06	1.74345e-05	1.20046	1.49651
0.497512	8.50775e-07	8.26009e-07	1.87227e-05	1.0491	1.47363
0.502488	3.76277e-07	6.40021e-07	1.94848e-05	0.911693	1.43972
0.507463	1.63156e-07	4.99599e-07	1.95698e-05	0.788122	1.39884
0.512438	6.93579e-08	3.92903e-07	1.89992e-05	0.677991	1.35573
0.517413	2.89061e-08	3.11266e-07	1.78892e-05	0.580659	1.31556
0.522388	1.18109e-08	2.48334e-07	1.63949e-05	0.495303	1.28356
0.527363	4.73129e-09	1.99448e-07	1.4674e-05	0.420968	1.26475
0.532338	1.85812e-09	1.61181e-07	1.28657e-05	0.356635	1.26368
0.537313	7.15435e-10	1.31e-07	1.10806e-05	0.301257	1.28412
0.542289	2.70064e-10	1.07026e-07	9.3982e-06	0.253806	1.32897
0.547264	9.99452e-11	8.78575e-08	7.86884e-06	0.213303	1.40004
0.552239	3.62626e-11	7.24363e-08	6.51867e-06	0.178836	1.49804
0.557214	1.2899e-11	5.99616e-08	5.35496e-06	0.149581	1.62255
0.562189	4.49834e-12	4.98197e-08	4.37168e-06	0.124797	1.77202
0.567164	1.53798e-12	4.1537e-08	3.55427e-06	0.103839	1.94389
0.572139	5.15523e-13	3.47442e-08	2.88356e-06	0.0861422	2.13468
0.577114	1.69413e-13	2.91516e-08	2.33865e-06	0.0712245	2.34013
0.58209	5.45814e-14	2.45297e-08	1.89899e-06	0.0586727	2.55541
0.587065	1.72402e-14	2.06962e-08	1.54566e-06	0.0481355	2.77526
0.59204	5.33878e-15	1.75051e-08	1.26199e-06	0.0393141	2.99421
0.597015	1.62085e-15	1.48391e-08	1.03388e-06	0.0319539	3.2068
0.60199	4.82438e-16	1.26037e-08	8.49737e-07	0.0258377	3.40772
0.606965	1.4078e-16	1.07227e-08	7.00259e-07	0.020779	3.59205
0.61194	4.02756e-17	9.13443e-09	5.78122e-07	0.0166171	3.75538
0.616915	1.12965e-17	7.78877e-09	4.77655e-07	0.0132132	3.89396
0.621891	3.1063e-18	6.64515e-09	3.94505e-07	0.0104472	4.00481
0.626866	8.37423e-19	5.67052e-09	3.25349e-07	0.00821469	4.08576
0.631841	2.21333e-19	4.83793e-09	2.67641e-07	0.00642566	4.13552
0.636816	5.7352e-20	4.12527e-09	2.19418e-07	0.00500239	4.15364
0.641791	1.45697e-20	3.5144e-09	1.79138e-07	0.00387833	4.1405
0.646766	3.62872e-21	2.99029e-09	1.45567e-07	0.00299687	4.09722
0.651741	8.86046e-22	2.54044e-09	1.17692e-07	0.00231028	4.0256
0.656716	2.12109e-22	2.15438e-09	9.46668e-08	0.00177875	3.92798
0.661692	4.97809e-23	1.82327e-09	7.57654e-08	0.00136941	3.80714
0.666667	1.14543e-23	1.53959e-09	6.03603e-08	0.00105546	3.66617
0.671642	2.58387e-24	1.29693e-09	4.79033e-08	0.000815322	3.50834
0.676617	5.71447e-25	1.08973e-09	3.79147e-08	0.00063182	3.33701
0.681592	1.23903e-25	9.13209e-10	2.99752e-08	0.000491481	3.15549
0.686567	2.63382e-26	7.63188e-10	2.37208e-08	0.000383858	2.96698
0.691542	5.48897e-27	6.36035e-10	1.88376e-08	0.000300951	2.77448
0.696517	1.12149e-27	5.28571e-10	1.50578e-08	0.000236703	2.58075
0.701493	2.24648e-28	4.38021e-10	1.21551e-08	0.000186574	2.38825
0.706468	4.41174e-29	3.6196e-10	9.94113e-09	0.000147183	2.19913
0.711443	8.49408e-30	2.98271e-10	8.26037e-09	0.000116031	2.01521
0.716418	1.60333e-30	2.45112e-10	6.98661e-09	9.12648e-05	1.83801
0.721393	2.96709e-31	2.00885e-10	6.01872e-09	7.15088e-05	1.66872
0.726368	5.38318e-32	1.64205e-10	5.27688e-09	5.57301e-05	1.50825
0.731343	9.57518e-33	1.33881e-10	4.69914e-09	4.31415e-05	1.35724
0.736318	1.66976e-33	1.08889e-10	4.23828e-09	3.31318e-05	1.2161
0.741294	2.85472e-34	8.8353e-11	3.85905e-09	2.52164e-05	1.08504
0.746269	4.7849e-35	7.15286e-11	3.53574e-09	1.90035e-05	0.964081
0.751244	7.86289e-36	5.7784e-11	3.25018e-09	1.41714e-05	0.853096
0.756219	1.26675e-36	4.6586e-11	2.98995e-09	1.04527e-05	0.751837
0.761194	2.00079e-37	3.74867e-11	2.74702e-09	7.62478e-06	0.659953
0.766169	3.09822e-38	3.01113e-11	2.51653e-09	5.50171e-06	0.577012
0.771144	4.70352e-39	2.41473e-11	2.29593e-09	3.92953e-06	0.502524
0.776119	7.00058e-40	1.93355e-11	2.08418e-09	2.7818e-06	0.435958
0.781095	1.02152e-40	1.54614e-11	1.88124e-09	1.956e-06	0.376757
0.78607	1.46136e-41	1.23484e-11	1.68765e-09	1.37027e-06	0.324358
0.791045	2.0496e-42	9.85154e-12	1.50418e-09	9.60346e-07	0.278198
0.79602	2.81826e-43	7.85224e-12	1.33166e-09	6.76772e-07	0.237729
0.800995	3.79922e-44	6.25377e-12	1.17082e-09	4.8224e-07	0.202416
0.80597	5.02119e-45	4.97752e-12	1.0222e-09	3.49248e-07	0.171747
0.810945	6.50609e-46	3.95979e-12	8.86136e-10	2.58005e-07	0.145232
0.81592	8.26483e-47	3.14906e-12	7.62694e-10	1.94621e-07	0.122407
0.820896	1.02931e-47	2.5038e-12	6.5173e-10	1.49613e-07	0.102837
